day,rank,room,error_type,start,end,minutes_total,seed_hits,merged_events,positive_label,current_label_note,fail_reasons
7,1,Bedroom,FN,2025-12-07 22:18:40,2025-12-07 23:59:47,303.85,3,3,sleep,sleep,recall_sleep_lt_0.400
7,2,LivingRoom,FP,2025-12-07 03:01:58,2025-12-07 04:36:44,283.67,3,3,livingroom_normal_use,not livingroom_normal_use (likely unoccupied),occupied_f1_lt_0.580
7,3,LivingRoom,FP,2025-12-07 18:14:44,2025-12-07 18:53:02,115.4,3,3,livingroom_normal_use,not livingroom_normal_use (likely unoccupied),occupied_f1_lt_0.580
7,4,LivingRoom,FP,2025-12-07 09:53:17,2025-12-07 10:47:28,103.28,2,2,livingroom_normal_use,not livingroom_normal_use (likely unoccupied),occupied_f1_lt_0.580
7,5,Bedroom,FN,2025-12-07 00:00:05,2025-12-07 00:29:06,87.55,3,3,sleep,sleep,recall_sleep_lt_0.400
8,1,Bedroom,FP,2025-12-08 01:56:14,2025-12-08 03:53:02,254.77,3,3,sleep,not sleep (likely unoccupied),occupied_f1_lt_0.550;recall_sleep_lt_0.400
8,2,LivingRoom,FN,2025-12-08 05:26:58,2025-12-08 06:44:16,218.9,3,3,livingroom_normal_use,livingroom_normal_use,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400
8,3,Bedroom,FN,2025-12-08 22:14:27,2025-12-08 23:59:51,199.95,3,3,sleep,sleep,occupied_f1_lt_0.550;recall_sleep_lt_0.400
8,4,Bedroom,FP,2025-12-08 04:08:52,2025-12-08 05:49:38,195.38,3,6,sleep,not sleep (likely unoccupied),occupied_f1_lt_0.550;recall_sleep_lt_0.400
8,5,Bedroom,FP,2025-12-08 00:25:50,2025-12-08 01:17:35,102.63,3,4,sleep,not sleep (likely unoccupied),occupied_f1_lt_0.550;recall_sleep_lt_0.400
9,1,Bedroom,FN,2025-12-09 01:24:17,2025-12-09 06:00:45,702.75,3,6,sleep,sleep,occupied_f1_lt_0.550;occupied_recall_lt_0.500;recall_sleep_lt_0.400
9,2,LivingRoom,FN,2025-12-09 10:53:07,2025-12-09 11:53:15,179.03,3,3,livingroom_normal_use,livingroom_normal_use,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400
9,3,Bedroom,FN,2025-12-09 22:08:30,2025-12-09 23:11:55,164.03,3,5,sleep,sleep,occupied_f1_lt_0.550;occupied_recall_lt_0.500;recall_sleep_lt_0.400
9,4,LivingRoom,FP,2025-12-09 03:53:10,2025-12-09 04:47:44,99.02,2,2,livingroom_normal_use,not livingroom_normal_use (likely unoccupied),occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400
9,5,LivingRoom,FN,2025-12-09 06:10:38,2025-12-09 06:53:04,88.25,3,3,livingroom_normal_use,livingroom_normal_use,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400
10,1,Bedroom,FN,2025-12-10 21:55:39,2025-12-10 23:59:44,372.75,3,3,sleep,sleep,fragmentation_score_lt_0.450;occupied_f1_lt_0.550;recall_sleep_lt_0.400
10,2,Bedroom,FN,2025-12-10 00:00:09,2025-12-10 01:57:44,353.25,3,3,sleep,sleep,fragmentation_score_lt_0.450;occupied_f1_lt_0.550;recall_sleep_lt_0.400
10,3,LivingRoom,FP,2025-12-10 04:26:49,2025-12-10 05:49:58,245.05,3,3,livingroom_normal_use,not livingroom_normal_use (likely unoccupied),occupied_f1_lt_0.580
10,4,LivingRoom,FP,2025-12-10 06:53:11,2025-12-10 07:59:58,200.85,3,3,livingroom_normal_use,not livingroom_normal_use (likely unoccupied),occupied_f1_lt_0.580
10,5,LivingRoom,FP,2025-12-10 03:00:06,2025-12-10 04:25:08,183.15,3,3,livingroom_normal_use,not livingroom_normal_use (likely unoccupied),occupied_f1_lt_0.580
